t,water
1736,364000
1737,364000
1738,364000
1739,365000
1740,364000
1741,364000
1742,364000
1743,2183000
1744,2179000
1745,2180000
1746,2179000
1747,2180000
1748,2179000
1749,2179000
1750,2180000
1751,2181000
1752,2181000
1753,2181000
1754,2183000
1755,2185000
1756,2185000
1757,2186000
1758,2186000
1759,2185000
1760,2185000
1761,2186000
1762,2181000
1763,2184000
1764,2181000
1765,2181000
1766,2178000
1767,2178000
1768,2181000
1769,2181000
1770,2181000
1771,2181000
1772,2181000
1773,2181000
1774,2180000
1775,2180000
1776,2181000
1777,2181000
1778,2180000
1779,2178000
1780,2179000
1781,1816000
1782,2180000
1783,2180000
1784,2180000
1785,2180000
1786,2180000
1787,2180000
1788,2180000
1789,2179000
1790,2178000
1791,2178000
1792,2178000
1793,2178000
1794,2178000
1795,2176000
1796,2176000
1797,2176000
1798,2179000
1799,2177000
1800,2176000
1801,2177000
1802,2181000
1803,2182000
1804,2178000
1805,2177000
1806,2177000
1807,2178000
1808,2178000
1809,2178000
1810,2175000
1811,2177000
1812,2176000
1813,2176000
1814,2177000
1815,2177000
1816,2177000
1817,2177000
1818,2178000
1819,2177000
1820,2173000
1821,2173000
1822,2174000
1823,2174000
1824,2173000
1825,2171000
1826,2173000
1827,2179000
1828,2180000
1829,2178000
1830,2171000
1831,2168000
1832,2169000
1833,2169000
1834,2169000
1835,2169000
1836,2169000
1837,2169000
1838,2170000
1839,2170000
1840,2170000
1841,2171000
1842,2170000
1843,2170000
1844,2169000
1845,2169000
1846,2168000
1847,2169000
1848,2170000
1849,2170000
1850,2170000
1851,2168000
1852,2170000
1853,2168000
1854,2168000
1855,2168000
1856,2168000
1857,2169000
1858,2172000
1859,2169000
1860,2168000
1861,2168000
1862,2168000
1863,2168000
1864,2168000
1865,2168000
1866,2167000
1867,2167000
1868,2167000
1869,2167000
1870,2167000
1871,2166000
1872,2166000
1873,2167000
1874,2168000
1875,2168000
1876,2166000
1877,2166000
1878,2166000
1879,2167000
1880,2167000
1881,2166000
1882,2166000
1883,2167000
1884,2167000
1885,2167000
1886,2166000
1887,2166000
1888,2166000
1889,2167000
1890,2168000
1891,2167000
1892,2166000
1893,2166000
1894,2166000
1895,2166000
1896,2166000
1897,2165000
1898,2165000
1899,2165000
1900,2166000
1901,2167000
1902,2166000
1903,2167000
1904,2167000
1905,2168000
1906,2168000
1907,2166000
1908,2167000
1909,2168000
1910,2169000
1911,2169000
1912,2167000
1913,2166000
1914,2166000
1915,2165000
1916,2165000
1917,2164000
1918,2165000
1919,2166000
1920,2167000
1921,2167000
1922,2166000
1923,2166000
1924,2167000
1925,2167000
1926,2167000
1927,2166000
1928,2165000
1929,2166000
1930,2167000
1931,2167000
1932,2167000
1933,2164000
1934,2162000
1935,2162000
1936,2162000
1937,2164000
1938,2163000
1939,2163000
1940,2164000
1941,2164000
1942,2165000
1943,2164000
1944,2164000
1945,2164000
1946,2164000
1947,2164000
1948,2163000
1949,2163000
1950,2163000
1951,2164000
1952,2164000
1953,2164000
1954,2162000
1955,2162000
1956,2163000
1957,2163000
1958,2163000
1959,2162000
1960,2162000
1961,2162000
1962,2162000
1963,2162000
1964,2161000
1965,2162000
1966,2162000
1967,2162000
1968,2162000
1969,2163000
1970,2162000
1971,2162000
1972,2162000
1973,2162000
1974,2160000
1975,2161000
1976,2161000
1977,2161000
1978,2161000
1979,2162000
1980,2161000
1981,2161000
1982,2160000
1983,2160000
1984,2160000
1985,2160000
1986,2158000
1987,2157000
1988,2157000
1989,2158000
1990,2157000
1991,2156000
1992,2157000
1993,2157000
1994,2157000
1995,2157000
1996,2156000
1997,2157000
1998,2157000
1999,2157000
2000,2157000
2001,2156000
2002,2156000
2003,2156000
2004,2156000
2005,2156000
2006,2155000
2007,2155000
2008,2156000
2009,2155000
2010,2156000
2011,2155000
2012,2155000
2013,2155000
2014,2155000
2015,2156000
2016,2156000
2017,2154000
2018,2154000
2019,2155000
2020,2155000
2021,2152000
2022,2153000
2023,2154000
2024,2154000
2025,2154000
2026,2154000
2027,2153000
2028,2154000
2029,2153000
2030,2154000
2031,2154000
2032,2152000
2033,2152000
2034,2152000
2035,2152000
2036,2152000
2037,2152000
2038,2149000
2039,2152000
2040,2152000
2041,2153000
2042,2152000
2043,2152000
2044,2153000
2045,2154000
2046,2154000
2047,2151000
2048,2146000
2049,2146000
2050,2146000
2051,2147000
2052,2147000
2053,2147000
2054,2146000
2055,2146000
2056,2146000
2057,2146000
2058,2146000
2059,2146000
2060,2146000
2061,2146000
2062,2146000
2063,2146000
2064,2146000
2065,2145000
2066,2146000
2067,2146000
2068,2147000
2069,2146000
2070,2146000
2071,2145000
2072,2144000
2073,2144000
2074,2144000
2075,2142000
2076,2140000
2077,2141000
2078,2140000
2079,2140000
2080,2141000
2081,2140000
2082,2140000
2083,2139000
2084,2139000
2085,2140000
2086,2139000
2087,2139000
2088,2138000
2089,2138000
2090,2138000
2091,2137000
2092,2137000
2093,2137000
2094,2138000
2095,2138000
2096,2138000
2097,2138000
2098,2138000
2099,2138000
2100,2138000
2101,2137000
2102,2137000
2103,2137000
2104,2137000
2105,2137000
2106,2136000
2107,2135000
2108,2136000
2109,2136000
2110,2136000
2111,2134000
2112,2134000
2113,2134000
2114,2134000
2115,2134000
2116,2133000
2117,2133000
2118,2132000
2119,2132000
2120,2132000
2121,2132000
2122,2132000
2123,2132000
2124,2132000
2125,2133000
2126,2132000
2127,2132000
2128,2131000
2129,2131000
2130,2130000
2131,2130000
2132,2131000
2133,2130000
2134,2130000
2135,2129000
2136,2129000
2137,2129000
2138,2129000
2139,2128000
2140,2128000
2141,2128000
2142,2128000
2143,2128000
